,player_id,birthDate,draft_year,name,position,college,salary,season_end,season_start,team,lat,long
156,chrisse01,1-Nov-92,2014.0,Semaj Christon,Point Guard,Xavier University,543471.0,2017.0,2016.0,Oklahoma City Thunder,39.149448,-84.47363740000002
157,coleno01,13-Oct-88,2011.0,Norris Cole,Point Guard,Cleveland State University,247991.0,2017.0,2016.0,Oklahoma City Thunder,41.5025072,-81.6746268
158,colliza01,19-Nov-97,2017.0,Zach Collins,Center,Gonzaga University,3057240.0,2018.0,2017.0,Portland Trail Blazers,47.66703210000001,-117.4014343
159,olynyke01,19-Apr-91,2013.0,Kelly Olynyk,Center and,Gonzaga University,10607169.0,2018.0,2017.0,Miami Heat,47.66703210000001,-117.4014343
160,sabondo01,3-May-96,2016.0,Domantas Sabonis,Center and,Gonzaga University,2550000.0,2018.0,2017.0,Indiana Pacers,47.66703210000001,-117.4014343
161,sacrero01,6-Jun-89,2012.0,Robert Sacre,Center,Gonzaga University,981348.0,2016.0,2015.0,Los Angeles Lakers,47.66703210000001,-117.4014343
162,connapa01,6-Jan-93,2015.0,Pat Connaughton,Shooting Guard,University of Notre Dame,1471382.0,2018.0,2017.0,Portland Trail Blazers,41.7055716,-86.2353388
163,grantje02,9-Oct-92,2015.0,Jerian Grant,Point Guard,University of Notre Dame,1713840.0,2018.0,2017.0,Chicago Bulls,41.7055716,-86.2353388
164,haranlu01,2-Jan-88,2010.0,Luke Harangody,Power Forward,University of Notre Dame,1054389.0,2013.0,2012.0,Cleveland Cavaliers,41.7055716,-86.2353388
165,cunnija01,22-May-91,2012.0,Jared Cunningham,Shooting Guard,Oregon State University,57726.0,2016.0,2015.0,Milwaukee Bucks,44.5637806,-123.2794443
166,davisde01,2-Dec-96,2016.0,Deyonta Davis,Center,Michigan State University,1312611.0,2018.0,2017.0,Memphis Grizzlies,42.701848,-84.4821719
167,dawsobr01,1-Feb-93,2015.0,Branden Dawson,Power Forward,Michigan State University,525093.0,2016.0,2015.0,Los Angeles Clippers,42.701848,-84.4821719
