,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,league,player_id,salary,season,season_end,season_start,team
6831,jonesty01,10-May-96,"Burnsville, Minnesota",3.3,41.9,33.3,81.9,247,13.5,5.1,1.5,8.4,47.7,Duke University,24th overall,1st round,Cleveland Cavaliers,2015,2-Jun,"Apple Valley in Apple Valley, Minnesota",Tyus Jones,Point Guard,Right,196lb,NBA,jonesty01,1339680,2016-17,2017,2016,Minnesota Timberwolves
6832,jonesty01,10-May-96,"Burnsville, Minnesota",3.3,41.9,33.3,81.9,247,13.5,5.1,1.5,8.4,47.7,Duke University,24th overall,1st round,Cleveland Cavaliers,2015,2-Jun,"Apple Valley in Apple Valley, Minnesota",Tyus Jones,Point Guard,Right,196lb,NBA,jonesty01,1471382,2017-18,2018,2017,Minnesota Timberwolves
6844,jordaje01,29-Sep-86,"Kingston, Jamaica",0.3,52.8,-,85.2,65,17.1,2.8,2,1.7,52.8,University of Tulsa,44th overall,2nd round,Milwaukee Bucks,2010,Jul-00,"Florida Air Academy in Melbourne, Florida",Jerome Jordan,Center,Right,253lb,NBA,jordaje01,473604,2011-12,2012,2011,New York Knicks
6845,jordaje01,29-Sep-86,"Kingston, Jamaica",0.3,52.8,-,85.2,65,17.1,2.8,2,1.7,52.8,University of Tulsa,44th overall,2nd round,Milwaukee Bucks,2010,Jul-00,"Florida Air Academy in Melbourne, Florida",Jerome Jordan,Center,Right,253lb,NBA,jordaje01,915243,2014-15,2015,2014,Brooklyn Nets
6864,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,1028400,2011-12,2012,2011,San Antonio Spurs
6865,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,1105560,2012-13,2013,2012,San Antonio Spurs
6866,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,1120920,2013-14,2014,2013,San Antonio Spurs
6867,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,2023261,2014-15,2015,2014,San Antonio Spurs
6868,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,7000000,2015-16,2016,2015,Toronto Raptors
6869,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,7330000,2016-17,2017,2016,Toronto Raptors
6870,josepco01,20-Aug-91,"Toronto, Canada",2.8,44.4,32.7,76.1,528,12.5,6.9,2.6,21.8,48,University of Texas at Austin,29th overall,1st round,San Antonio Spurs,2011,3-Jun,"Findlay College Prep in Henderson, Nevada",Cory Joseph,Point Guard and Shooting Guard,Right,193lb,NBA,josepco01,7630000,2017-18,2018,2017,Indiana Pacers
6872,josepkr01,17-Dec-88,"Montreal, Canada",0.1,14.3,0,62.5,10,0.6,0.9,0.7,-0.1,14.3,Syracuse University,51st overall,2nd round,Boston Celtics,2012,7-Jun,"Archbishop Carroll in Montreal, Canada",Kris Joseph,Small Forward,Right,210lb,NBA,josepkr01,189442,2012-13,2013,2012,Boston Celtics
6886,kaminfr01,4-Apr-93,"Lisle, Illinois",1.6,41.9,34.9,76,282,13.7,9.8,4,11,49.1,University of Wisconsin,9th overall,1st round,Charlotte Hornets,2015,Jul-00,"Benet Academy in Lisle, Illinois",Frank Kaminsky,Center and Power Forward,Right,242lb,NBA,kaminfr01,2612500,2015-16,2016,2015,Charlotte Hornets
6887,kaminfr01,4-Apr-93,"Lisle, Illinois",1.6,41.9,34.9,76,282,13.7,9.8,4,11,49.1,University of Wisconsin,9th overall,1st round,Charlotte Hornets,2015,Jul-00,"Benet Academy in Lisle, Illinois",Frank Kaminsky,Center and Power Forward,Right,242lb,NBA,kaminfr01,2730000,2016-17,2017,2016,Charlotte Hornets
6888,kaminfr01,4-Apr-93,"Lisle, Illinois",1.6,41.9,34.9,76,282,13.7,9.8,4,11,49.1,University of Wisconsin,9th overall,1st round,Charlotte Hornets,2015,Jul-00,"Benet Academy in Lisle, Illinois",Frank Kaminsky,Center and Power Forward,Right,242lb,NBA,kaminfr01,2847600,2017-18,2018,2017,Charlotte Hornets
6929,kellyry01,9-Apr-91,"Carmel, New York",1.3,37.8,31.6,79.7,163,10.5,6,3.1,3,43.8,Duke University,48th overall,2nd round,Los Angeles Lakers,2013,11-Jun,"Ravenscroft in Raleigh, North Carolina",Ryan Kelly,Power Forward,Right,230lb,NBA,kellyry01,1650000,2014-15,2015,2014,Los Angeles Lakers
6930,kellyry01,9-Apr-91,"Carmel, New York",1.3,37.8,31.6,79.7,163,10.5,6,3.1,3,43.8,Duke University,48th overall,2nd round,Los Angeles Lakers,2013,11-Jun,"Ravenscroft in Raleigh, North Carolina",Ryan Kelly,Power Forward,Right,230lb,NBA,kellyry01,1724250,2015-16,2016,2015,Los Angeles Lakers
6931,kellyry01,9-Apr-91,"Carmel, New York",1.3,37.8,31.6,79.7,163,10.5,6,3.1,3,43.8,Duke University,48th overall,2nd round,Los Angeles Lakers,2013,11-Jun,"Ravenscroft in Raleigh, North Carolina",Ryan Kelly,Power Forward,Right,230lb,NBA,kellyry01,418228,2016-17,2017,2016,Atlanta Hawks
6951,kennalu01,24-Jun-96,"Middletown, Ohio",1.8,44.1,40.3,84.7,136,12,8.6,2.6,5.1,53.6,Duke University,12th overall,1st round,Detroit Pistons,2017,5-Jun,"Franklin in Franklin, Ohio",Luke Kennard,Shooting Guard,Left,206lb,NBA,kennalu01,2759280,2017-18,2018,2017,Detroit Pistons
7017,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,4602720,2012-13,2013,2012,Charlotte Bobcats
7018,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,4809840,2013-14,2014,2013,Charlotte Bobcats
7019,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,5016960,2014-15,2015,2014,Charlotte Hornets
7020,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,6331404,2015-16,2016,2015,Charlotte Hornets
7021,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,13000000,2016-17,2017,2016,Charlotte Hornets
7022,kiddgmi01,26-Sep-93,"Philadelphia, Pennsylvania",1.2,47.7,27.7,71.4,421,13.7,8.8,5.6,21.2,48.1,University of Kentucky,2nd overall,1st round,Charlotte Bobcats,2012,7-Jun,"Saint Patrick in Elizabeth, New Jersey",Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,232lb,NBA,kiddgmi01,13000000,2017-18,2018,2017,Charlotte Hornets
7131,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,2563320,2011-12,2012,2011,Detroit Pistons
7132,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,2755560,2012-13,2013,2012,Detroit Pistons
7133,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,2793960,2013-14,2014,2013,Milwaukee Bucks
7134,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,3553917,2014-15,2015,2014,Phoenix Suns
7135,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,12000000,2015-16,2016,2015,Phoenix Suns
7136,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,12606250,2016-17,2017,2016,Phoenix Suns
7137,knighbr03,2-Dec-91,"Miami, Florida",4,41.3,35.4,81.2,421,13.9,14.5,3.2,11.6,47.6,University of Kentucky,8th overall,1st round,Detroit Pistons,2011,3-Jun,"Pine Crest School in Fort Lauderdale, Florida",Brandon Knight,Point Guard and Shooting Guard,Right,195lb,NBA,knighbr03,13618750,2017-18,2018,2017,Phoenix Suns
7244,kuzmaky01,24-Jul-95,"Flint, Michigan",2.2,45.3,33.5,73.1,147,14.1,17.3,5.9,7,52.1,University of Utah,27th overall,1st round,Brooklyn Nets,2017,9-Jun,"Rise Academy in Philadelphia, Pennsylvania",Kyle Kuzma,Power Forward,Right,220lb,NBA,kuzmaky01,1423560,2017-18,2018,2017,Los Angeles Lakers
7248,labissk01,18-Mar-96,"Port-au-Prince, Haiti",1,48,37.5,74.6,115,14.9,7.6,4.3,3,49.9,University of Kentucky,28th overall,1st round,Phoenix Suns,2016,11-Jun,"Lausanne Collegiate School in Memphis, Tennessee",Skal Labissiere,Power Forward,Right,235lb,NBA,labissk01,1188840,2016-17,2017,2016,Sacramento Kings
7249,labissk01,18-Mar-96,"Port-au-Prince, Haiti",1,48,37.5,74.6,115,14.9,7.6,4.3,3,49.9,University of Kentucky,28th overall,1st round,Phoenix Suns,2016,11-Jun,"Lausanne Collegiate School in Memphis, Tennessee",Skal Labissiere,Power Forward,Right,235lb,NBA,labissk01,1312611,2017-18,2018,2017,Sacramento Kings
7283,lambdo01,6-Nov-91,"Queens, New York",0.8,38.1,39.4,70,100,6.3,3.5,1,0.1,45.8,University of Kentucky,42nd overall,2nd round,Milwaukee Bucks,2012,4-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Doron Lamb,Shooting Guard,Right,210lb,NBA,lambdo01,650000,2012-13,2013,2012,Orlando Magic
7284,lambdo01,6-Nov-91,"Queens, New York",0.8,38.1,39.4,70,100,6.3,3.5,1,0.1,45.8,University of Kentucky,42nd overall,2nd round,Milwaukee Bucks,2012,4-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Doron Lamb,Shooting Guard,Right,210lb,NBA,lambdo01,788872,2013-14,2014,2013,Orlando Magic
7285,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,2020200,2012-13,2013,2012,Oklahoma City Thunder
7286,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,2111160,2013-14,2014,2013,Oklahoma City Thunder
7287,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,2202000,2014-15,2015,2014,Oklahoma City Thunder
7288,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,3034356,2015-16,2016,2015,Charlotte Hornets
7289,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,6511628,2016-17,2017,2016,Charlotte Hornets
7290,lambje01,30-May-92,"Henrico, Virginia",1.5,44.3,33.9,85.3,435,16.1,10.2,3.7,20.8,50.2,University of Connecticut,12th overall,1st round,Houston Rockets,2012,5-Jun,"Norcross in Norcross, Georgia",Jeremy Lamb,Small Forward and Shooting Guard,Right,185lb,NBA,lambje01,7000000,2017-18,2018,2017,Charlotte Hornets
7339,larkish01,2-Oct-92,"Cincinnati, Ohio",2.9,42.2,33.6,77.7,256,11.4,5.5,1.9,4.4,46.8,University of Miami,18th overall,1st round,Atlanta Hawks,2013,11-May,"Dr. Phillips in Orlando, Florida",Shane Larkin,Point Guard,Right,175lb,NBA,larkish01,1536960,2013-14,2014,2013,Dallas Mavericks
7340,larkish01,2-Oct-92,"Cincinnati, Ohio",2.9,42.2,33.6,77.7,256,11.4,5.5,1.9,4.4,46.8,University of Miami,18th overall,1st round,Atlanta Hawks,2013,11-May,"Dr. Phillips in Orlando, Florida",Shane Larkin,Point Guard,Right,175lb,NBA,larkish01,1606080,2014-15,2015,2014,New York Knicks
7341,larkish01,2-Oct-92,"Cincinnati, Ohio",2.9,42.2,33.6,77.7,256,11.4,5.5,1.9,4.4,46.8,University of Miami,18th overall,1st round,Atlanta Hawks,2013,11-May,"Dr. Phillips in Orlando, Florida",Shane Larkin,Point Guard,Right,175lb,NBA,larkish01,1500000,2015-16,2016,2015,Brooklyn Nets
7342,larkish01,2-Oct-92,"Cincinnati, Ohio",2.9,42.2,33.6,77.7,256,11.4,5.5,1.9,4.4,46.8,University of Miami,18th overall,1st round,Atlanta Hawks,2013,11-May,"Dr. Phillips in Orlando, Florida",Shane Larkin,Point Guard,Right,175lb,NBA,larkish01,1471382,2017-18,2018,2017,Boston Celtics
7353,lavinza01,10-Mar-95,"Renton, Washington",3.5,44.6,37.3,82.4,293,14.8,16.1,3.4,8,50.6,"University of California, Los Angeles",13th overall,1st round,Minnesota Timberwolves,2014,5-Jun,"Bothell in Bothell, Washington",Zach LaVine,Point Guard and Shooting Guard,Right,200lb,NBA,lavinza01,2055840,2014-15,2015,2014,Minnesota Timberwolves
7354,lavinza01,10-Mar-95,"Renton, Washington",3.5,44.6,37.3,82.4,293,14.8,16.1,3.4,8,50.6,"University of California, Los Angeles",13th overall,1st round,Minnesota Timberwolves,2014,5-Jun,"Bothell in Bothell, Washington",Zach LaVine,Point Guard and Shooting Guard,Right,200lb,NBA,lavinza01,2148360,2015-16,2016,2015,Minnesota Timberwolves
7355,lavinza01,10-Mar-95,"Renton, Washington",3.5,44.6,37.3,82.4,293,14.8,16.1,3.4,8,50.6,"University of California, Los Angeles",13th overall,1st round,Minnesota Timberwolves,2014,5-Jun,"Bothell in Bothell, Washington",Zach LaVine,Point Guard and Shooting Guard,Right,200lb,NBA,lavinza01,2240880,2016-17,2017,2016,Minnesota Timberwolves
7356,lavinza01,10-Mar-95,"Renton, Washington",3.5,44.6,37.3,82.4,293,14.8,16.1,3.4,8,50.6,"University of California, Los Angeles",13th overall,1st round,Minnesota Timberwolves,2014,5-Jun,"Bothell in Bothell, Washington",Zach LaVine,Point Guard and Shooting Guard,Right,200lb,NBA,lavinza01,3202217,2017-18,2018,2017,Chicago Bulls
7362,lawalga01,7-Nov-88,"College Park, Georgia",0,-,-,-,1,-9.1,0,0,0,-,Georgia Institute of Technology,46th overall,2nd round,Phoenix Suns,2010,9-Jun,"Norcross in Norcross, Georgia",Gani Lawal,Power Forward,Right,234lb,NBA,lawalga01,473640,2010-11,2011,2010,Phoenix Suns
7375,laymaja01,7-Mar-94,"Norwood, Massachusetts",0.5,45.7,30.2,71.4,141,11.5,4.6,1.8,2.7,52.5,University of Maryland,47th overall,2nd round,Orlando Magic,2016,9-Jun,"King Philip Regional in Wrentham, Massachusetts",Jake Layman,Small Forward,Right,215lb,NBA,laymaja01,600000,2016-17,2017,2016,Portland Trail Blazers
7376,laymaja01,7-Mar-94,"Norwood, Massachusetts",0.5,45.7,30.2,71.4,141,11.5,4.6,1.8,2.7,52.5,University of Maryland,47th overall,2nd round,Orlando Magic,2016,9-Jun,"King Philip Regional in Wrentham, Massachusetts",Jake Layman,Small Forward,Right,215lb,NBA,laymaja01,1312611,2017-18,2018,2017,Portland Trail Blazers
7377,leaftj01,30-Apr-97,"Tel Aviv, Israel",0.3,51.1,35.6,61.7,111,14,3.4,1.9,2.4,55.2,"University of California, Los Angeles",18th overall,1st round,Indiana Pacers,2017,10-Jun,"Foothills Christian in El Cajon, California",T.J. Leaf,Power Forward,Right,225lb,NBA,leaftj01,2028360,2017-18,2018,2017,Indiana Pacers
7423,leema01,22-May-90,"Riverside, California",1.4,38.2,29.4,70.3,36,9.5,3.9,1.8,0.4,41.9,"University of California, Los Angeles",43rd overall,2nd round,Chicago Bulls,2011,5-Jun,"John W. North in Riverside, California",Malcolm Lee,Shooting Guard,Right,200lb,NBA,leema01,500000,2011-12,2012,2011,Minnesota Timberwolves
7424,leema01,22-May-90,"Riverside, California",1.4,38.2,29.4,70.3,36,9.5,3.9,1.8,0.4,41.9,"University of California, Los Angeles",43rd overall,2nd round,Chicago Bulls,2011,5-Jun,"John W. North in Riverside, California",Malcolm Lee,Shooting Guard,Right,200lb,NBA,leema01,762195,2012-13,2013,2012,Minnesota Timberwolves
7425,leema01,22-May-90,"Riverside, California",1.4,38.2,29.4,70.3,36,9.5,3.9,1.8,0.4,41.9,"University of California, Los Angeles",43rd overall,2nd round,Chicago Bulls,2011,5-Jun,"John W. North in Riverside, California",Malcolm Lee,Shooting Guard,Right,200lb,NBA,leema01,884293,2013-14,2014,2013,Phoenix Suns
7452,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,1731960,2011-12,2012,2011,San Antonio Spurs
7453,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,1861920,2012-13,2013,2012,San Antonio Spurs
7454,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,1887840,2013-14,2014,2013,San Antonio Spurs
7455,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,2894059,2014-15,2015,2014,San Antonio Spurs
7456,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,16500000,2015-16,2016,2015,San Antonio Spurs
7457,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,17638063,2016-17,2017,2016,San Antonio Spurs
7458,leonaka01,29-Jun-91,"Riverside, California",2.4,49.5,38.3,84.8,467,22.6,17.7,6.3,65.8,54.8,San Diego State University,15th overall,1st round,Indiana Pacers,2011,7-Jun,"King in Riverside, California",Kawhi Leonard,Small Forward,Right,230lb,NBA,leonaka01,18868625,2017-18,2018,2017,San Antonio Spurs
7459,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,2126520,2012-13,2013,2012,Portland Trail Blazers
7460,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,2222160,2013-14,2014,2013,Portland Trail Blazers
7461,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,2317920,2014-15,2015,2014,Portland Trail Blazers
7462,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,3075880,2015-16,2016,2015,Portland Trail Blazers
7463,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,9213484,2016-17,2017,2016,Portland Trail Blazers
7464,leoname01,27-Feb-92,"Robinson, Illinois",0.9,47.9,38.5,82.8,393,12.3,5.6,3.7,13.4,55.6,University of Illinois at Urbana-Champaign,11th overall,1st round,Portland Trail Blazers,2012,1-Jul,"Robinson in Robinson, Illinois",Meyers Leonard,Power Forward and Center,Right,255lb,NBA,leoname01,9904495,2017-18,2018,2017,Portland Trail Blazers
7471,leslitr01,29-Mar-90,"Atlanta, Georgia",0.5,35.7,-,44.4,10,14.6,1.4,0.9,0.1,35.7,University of Georgia,47th overall,2nd round,Los Angeles Clippers,2011,4-Jun,"Columbia in Decatur, Georgia",Travis Leslie,Shooting Guard,Right,205lb,NBA,leslitr01,473604,2011-12,2012,2011,Los Angeles Clippers
7472,leslitr01,29-Mar-90,"Atlanta, Georgia",0.5,35.7,-,44.4,10,14.6,1.4,0.9,0.1,35.7,University of Georgia,47th overall,2nd round,Los Angeles Clippers,2011,4-Jun,"Columbia in Decatur, Georgia",Travis Leslie,Shooting Guard,Right,205lb,NBA,leslitr01,250000,2012-13,2013,2012,Los Angeles Clippers
7475,leuerjo01,14-May-89,"Long Lake, Minnesota",0.8,48.4,32.8,76.7,377,14.5,6.4,3.8,13.2,51.5,University of Wisconsin,40th overall,2nd round,Milwaukee Bucks,2011,10-Jun,"Orono in Orono, Minnesota",Jon Leuer,Center and Power Forward,Right,228lb,NBA,leuerjo01,473604,2011-12,2012,2011,Milwaukee Bucks
7476,leuerjo01,14-May-89,"Long Lake, Minnesota",0.8,48.4,32.8,76.7,377,14.5,6.4,3.8,13.2,51.5,University of Wisconsin,40th overall,2nd round,Milwaukee Bucks,2011,10-Jun,"Orono in Orono, Minnesota",Jon Leuer,Center and Power Forward,Right,228lb,NBA,leuerjo01,762195,2012-13,2013,2012,Memphis Grizzlies
7477,leuerjo01,14-May-89,"Long Lake, Minnesota",0.8,48.4,32.8,76.7,377,14.5,6.4,3.8,13.2,51.5,University of Wisconsin,40th overall,2nd round,Milwaukee Bucks,2011,10-Jun,"Orono in Orono, Minnesota",Jon Leuer,Center and Power Forward,Right,228lb,NBA,leuerjo01,967500,2014-15,2015,2014,Memphis Grizzlies
7478,leuerjo01,14-May-89,"Long Lake, Minnesota",0.8,48.4,32.8,76.7,377,14.5,6.4,3.8,13.2,51.5,University of Wisconsin,40th overall,2nd round,Milwaukee Bucks,2011,10-Jun,"Orono in Orono, Minnesota",Jon Leuer,Center and Power Forward,Right,228lb,NBA,leuerjo01,1035000,2015-16,2016,2015,Phoenix Suns
